costF,latencyF
0.442857142857143,0.0330279634334898
0.459250585480094,0.0307921694907346
0.522833723653396,0.0280089067615117
0.199063231850117,0.131658479868922
0.606088992974239,0.026269583821103
0.18056206088993,0.178433271738485
0.568969555035129,0.0274734003265611
0.315339578454333,0.0479129082594268
0.211241217798595,0.103422808207982
0.274121779859485,0.055206348781568
0.333957845433255,0.0441510791385069
0.443325526932084,0.0325824679390044
0.391334894613583,0.0363840007803225
0.676814988290398,0.0253597248400746
0.360655737704918,0.0401569903074063
0.712295081967213,0.0252427670506614
0.454566744730679,0.0318248226412459
0.366627634660422,0.0376605715503144
0.220374707259953,0.0817496335815151
0.322248243559719,0.0445453615116931
0.411007025761124,0.0357356131115036
0.221311475409836,0.0654764025426479
0.66463700234192,0.0258349739922439
0.486065573770492,0.0302155113784982
0.594847775175644,0.0265920326818275
0.542622950819672,0.0279375781776056
0.498829039812646,0.0301172285202241
0.41440281030445,0.0357204801056738
0.418032786885246,0.0332501022962977
0.560772833723653,0.0278140117644492
0.300936768149883,0.0491896126869774
0.374941451990632,0.0365537310292216
0.511475409836066,0.0290426960012733
0.339227166276347,0.0416469008175818
0.407845433255269,0.0361087107616121
0.357494145199063,0.0414267965198364
